time,open,high,low,close
2002-04-05,12011,12105,11987,12055
2002-04-08,12042,12045,11870,12033
2002-04-09,12055,12076,11970,11987
2002-04-10,11994,12164,11980,12148
2002-04-11,12143,12143,11923,11935
2002-04-12,11975,12005,11905,11959
2002-04-15,11961,11995,11833,11858
2002-04-16,11906,12109,11897,12069
2002-04-17,12074,12103,11950,11993
2002-04-18,12003,12037,11805,11940
2002-04-19,11905,12039,11905,12017
2002-04-22,12012,12028,11876,11900
2002-04-23,11913,11942,11830,11860
2002-04-24,11880,11926,11780,11785
2002-04-25,11780,11810,11684,11807
2002-04-26,11801,11842,11625,11630
2002-04-29,11672,11698,11571,11583
2002-04-30,11601,11768,11582,11695
2002-05-01,11728,11846,11585,11835
2002-05-02,11841,11879,11794,11855
2002-05-03,11839,11873,11685,11751
2002-05-06,11769,11783,11546,11555
2002-05-07,11565,11685,11555,11565
2002-05-08,11640,11913,11636,11880
2002-05-09,11892,11899,11773,11798
2002-05-10,11698,11698,11695,11695
2002-05-13,11703,11876,11680,11870
2002-05-14,11875,12062,11854,12056
2002-05-15,12056,12114,11985,12030
2002-05-16,12032,12084,11993,12058
2002-05-17,12098,12129,12021,12102
2002-05-20,12100,12100,11975,12005
2002-05-21,11997,12050,11852,11888
2002-05-22,11900,11924,11827,11917
2002-05-23,11892,11993,11851,11985
2002-05-24,11986,12010,11850,11858
2002-05-28,11890,11908,11730,11768
2002-05-29,11760,11763,11680,11690
2002-05-30,11705,11732,11566,11686
2002-05-31,11700,11812,11654,11670
2002-06-03,11664,11755,11443,11448
2002-06-04,11465,11515,11358,11465
2002-06-05,11500,11577,11453,11570
2002-06-06,11565,11586,11275,11395
2002-06-07,11311,11406,11233,11355
2002-06-10,11379,11483,11325,11419
2002-06-11,11407,11529,11270,11290
2002-06-12,11311,11398,11213,11387
2002-06-13,11417,11420,11253,11279
2002-06-14,11270,11270,11015,11245
2002-06-17,11255,11460,11245,11445
2002-06-18,11445,11525,11390,11520
2002-06-19,11485,11501,11297,11325
2002-06-20,11340,11360,11184,11193
2002-06-21,11185,11245,10970,11032
2002-06-24,11035,11147,10835,11075
2002-06-25,11103,11170,10865,10870
2002-06-26,10765,10936,10629,10880
2002-06-27,10905,11043,10790,11031
2002-06-28,11054,11125,10987,10995
2002-07-01,10990,11089,10853,10861
2002-07-02,10841,10906,10723,10775
2002-07-03,10790,10835,10658,10812
2002-07-05,10817,11177,10815,11157
2002-07-08,11158,11158,11002,11043
2002-07-09,11060,11089,10842,10863
2002-07-10,10861,10937,10540,10560
2002-07-11,10568,10623,10362,10562
2002-07-12,10595,10644,10355,10413
2002-07-15,10401,10454,9997,10427
2002-07-16,10427,10429,10160,10238
2002-07-17,10204,10486,10167,10290
2002-07-18,10285,10395,10106,10130
2002-07-19,10116,10121,9713,9763
2002-07-22,9685,9878,9463,9550
2002-07-23,9580,9715,9411,9463
2002-07-24,9450,9995,9225,9970
2002-07-25,9965,10071,9683,9935
2002-07-26,9935,10038,9849,10032
2002-07-29,10055,10476,10042,10430
2002-07-30,10410,10522,10295,10459
2002-07-31,10425,10535,10288,10470
2002-08-01,10452,10471,10217,10243
2002-08-02,10225,10258,9950,10065
2002-08-05,10060,10067,9776,9802
2002-08-06,9787,10178,9745,10050
2002-08-07,10090,10225,9970,10205
2002-08-08,10205,10474,10179,10460
2002-08-09,10440,10556,10327,10490
2002-08-12,10486,10486,10332,10435
2002-08-13,10440,10503,10219,10245
2002-08-14,10247,10516,10115,10485
2002-08-15,10485,10623,10447,10572
2002-08-16,10540,10602,10470,10530
2002-08-19,10595,10762,10465,10732
2002-08-20,10716,10739,10580,10650
2002-08-21,10649,10750,10564,10740
2002-08-22,10752,10846,10692,10805
2002-08-23,10840,10840,10588,10633
2002-08-26,10640,10720,10518,10675
2002-08-27,10665,10789,10544,10600
2002-08-28,10610,10619,10404,10447
2002-08-29,10455,10509,10322,10418
2002-08-30,10415,10549,10359,10398
2002-09-03,10333,10345,10054,10063
2002-09-04,10062,10220,10044,10155
2002-09-05,10143,10151,9974,10078
2002-09-06,10057,10245,10057,10198
2002-09-09,10193,10324,10078,10257
2002-09-10,10263,10393,10261,10385
2002-09-11,10395,10525,10305,10317
2002-09-12,10323,10335,10115,10158
2002-09-13,10124,10153,10014,10092
2002-09-16,10112,10164,10027,10157
2002-09-17,10272,10362,9872,9960
2002-09-18,9932,10027,9814,9877
2002-09-19,9872,9886,9686,9695
2002-09-20,9704,9776,9675,9727
2002-09-23,9697,9752,9542,9647
2002-09-24,9635,9642,9418,9460
2002-09-25,9422,9661,9386,9629
2002-09-26,9614,9776,9602,9734
2002-09-27,9725,9742,9438,9445
2002-09-30,9432,9449,9211,9352
2002-10-01,9345,9767,9312,9754
2002-10-02,9734,9739,9492,9547
2002-10-03,9517,9685,9449,9490
2002-10-04,9515,9595,9229,9332
2002-10-07,9303,9403,9170,9225
2002-10-08,9243,9392,9092,9292
2002-10-09,9294,9307,9035,9062
2002-10-10,9045,9325,8956,9287
2002-10-11,9268,9667,9243,9644
2002-10-14,9607,9680,9516,9640
2002-10-15,9654,10042,9645,10034
2002-10-16,9946,10042,9772,9820
2002-10-17,9935,10142,9922,10037
2002-10-18,10103,10132,9908,10077
2002-10-21,10067,10321,9992,10297
2002-10-22,10259,10260,10138,10227
2002-10-23,10206,10304,10058,10274
2002-10-24,10302,10340,10034,10057
2002-10-25,10049,10224,10019,10222
2002-10-28,10232,10325,10087,10160
2002-10-29,10156,10165,9945,10128
2002-10-30,10134,10228,10070,10192
2002-10-31,10172,10267,10097,10132
2002-11-01,10118,10332,10065,10272
2002-11-04,10357,10502,10314,10324
2002-11-05,10327,10458,10299,10430
2002-11-06,10464,10567,10348,10549
2002-11-07,10511,10511,10308,10356
2002-11-08,10370,10440,10262,10277
2002-11-11,10272,10283,10108,10137
2002-11-12,10130,10278,10129,10179
2002-11-13,10144,10267,10062,10207
2002-11-14,10186,10328,10172,10302
