time,open,high,low,close
1997-09-09,1698,1705.5,1697,1698.25
1997-09-10,1698,1698.5,1678.75,1679.5
1997-09-11,1680.25,1681.75,1664.75,1672.75
1997-09-12,1672.25,1690.5,1668.25,1688.25
1997-09-15,1688,1694.25,1683.5,1686
1997-09-16,1685.75,1714.5,1684.75,1710.5
1997-09-17,1710.5,1717,1706,1710.5
1997-09-18,1710.25,1725,1709.25,1712.25
1997-09-19,1712.25,1717.75,1707.5,1715
1997-09-22,1714.75,1726.5,1714.75,1720.75
1997-09-23,1719.75,1721.75,1711,1716.5
1997-09-24,1716,1725,1706.5,1709
1997-09-25,1708.25,1712,1700,1701
1997-09-26,1700.75,1711,1700.75,1707.75
1997-09-29,1707.75,1719,1704.75,1716.25
1997-09-30,1715.5,1719.75,1707.25,1709
1997-10-01,1710,1721,1709,1718
1997-10-02,1717.75,1724,1715.5,1723.5
1997-10-03,1723.75,1740,1716.25,1730
1997-10-06,1731.25,1738.25,1731,1736
1997-10-07,1736,1746.75,1732,1744
1997-10-08,1744,1746.25,1729.25,1736.75
1997-10-09,1736.75,1737.75,1723.75,1732.5
1997-10-10,1733.25,1735.5,1718.5,1731.25
1997-10-13,1731.25,1736.25,1728.5,1730.75
1997-10-14,1730.75,1736,1723,1732
1997-10-15,1730.25,1731.25,1722.5,1728
1997-10-16,1728,1735.75,1709.75,1714.25
1997-10-17,1713.5,1714.5,1690,1703.25
1997-10-20,1718,1718,1716.75,1716.75
1997-10-21,1718.75,1735,1718.75,1734
1997-10-22,1733.5,1735,1725,1728.75
1997-10-23,1727.5,1728.75,1702,1710
1997-10-24,1710.5,1723.5,1696,1698.5
1997-10-27,1697,1698.5,1628.5,1628.5
1997-10-28,1616.5,1687.5,1598.5,1679
1997-10-29,1679,1696.5,1670.75,1679
1997-10-30,1679,1683,1656.5,1657.5
1997-10-31,1656.5,1680.75,1644.25,1678.5
1997-11-03,1678.25,1702.5,1675.75,1700.25
1997-11-04,1700.5,1701.25,1690.75,1700.25
1997-11-05,1696,1710.5,1692.75,1701.5
1997-11-06,1701,1702,1691.75,1696.75
1997-11-07,1696.75,1697.5,1671,1685.75
1997-11-10,1684.5,1695,1677.25,1680.75
1997-11-11,1680.5,1684.25,1678.75,1681
1997-11-12,1681,1684,1660,1662.75
1997-11-13,1661.5,1677,1657,1673.75
1997-11-14,1674.5,1687,1674.5,1687
1997-11-17,1686.5,1709,1686.5,1704.5
1997-11-18,1704.5,1709,1694.5,1697
1997-11-19,1696.75,1706,1690.75,1702.25
1997-11-20,1702.5,1720,1701.5,1717.5
1997-11-21,1717,1725.5,1712,1724
1997-11-24,1723,1723.5,1701.5,1704.25
1997-11-25,1704.5,1712,1699.25,1706.25
1997-11-26,1706.5,1714.25,1703.25,1709.5
1997-11-28,1709.25,1716.75,1708.25,1709.5
1997-12-01,1710,1734,1710,1734
1997-12-02,1734.5,1736.5,1726.5,1729.5
1997-12-03,1729.25,1735.75,1723.5,1732
1997-12-04,1732,1740.25,1727,1731.5
1997-12-05,1730.75,1743.5,1717.5,1741
1997-12-08,1741,1744.25,1735,1739
1997-12-09,1739.25,1740.75,1729,1733.5
1997-12-10,1733.25,1734.25,1718,1724.75
1997-12-11,1724.25,1724.75,1705.75,1709
1997-12-12,1703,1719.5,1701.25,1710
1997-12-15,1710.25,1722,1704,1717.75
1997-12-16,1717,1729.25,1716.75,1724
1997-12-17,1723.75,1731.5,1718,1719
1997-12-18,1718.75,1720,1704,1708.5
1997-12-19,1707.5,1707.5,1701,1701
1997-12-22,1700.25,1706.25,1700.25,1706.25
1997-12-23,1706.25,1708.5,1687.5,1688.5
1997-12-24,1688.25,1697,1685,1685.75
1997-12-26,1687.5,1693,1686.5,1689.5
1997-12-29,1689,1710,1684.75,1709.25
1997-12-30,1710,1724,1709,1722.75
1997-12-31,1723,1727.5,1718.75,1722.5
1998-01-02,1722.75,1728.25,1716,1728.25
1998-01-05,1730.5,1736.25,1720,1730.5
1998-01-06,1730.5,1731.25,1714,1714.5
1998-01-07,1714.25,1718.25,1704,1717.5
1998-01-08,1717.25,1720.75,1704,1704.75
1998-01-09,1705.5,1706.5,1669,1673
1998-01-12,1672.5,1691.75,1658,1689
1998-01-13,1689,1703.5,1688,1703
1998-01-14,1703.5,1709.75,1697.25,1706.75
1998-01-15,1707,1707.5,1698.25,1698.5
1998-01-16,1698.5,1716.25,1696,1712
1998-01-20,1712,1729.5,1710.25,1728.75
1998-01-21,1728,1728.75,1711,1719
1998-01-22,1720.75,1721,1707.75,1709.75
1998-01-23,1709.5,1716,1698.5,1708
1998-01-26,1704.5,1713.25,1697,1707
1998-01-27,1706.75,1723.25,1704.25,1717.25
1998-01-28,1717.5,1728.5,1716.5,1725.5
1998-01-29,1725.5,1742.5,1723.25,1730.5
1998-01-30,1731.25,1737,1727.5,1731.25
1998-02-02,1731.5,1752.5,1731.25,1747.5
1998-02-03,1746.25,1755.25,1744.75,1754.25
1998-02-04,1754.5,1758.25,1746.25,1753.25
1998-02-05,1753,1762.75,1747.5,1753
1998-02-06,1752.5,1762.5,1751.5,1762
1998-02-09,1762.5,1765.5,1753.75,1758.5
1998-02-10,1758.25,1771.25,1756,1767.75
1998-02-11,1767.5,1770,1763,1767.25
1998-02-12,1767,1775,1754.75,1770.25
1998-02-13,1770.25,1771.75,1764.25,1765.75
1998-02-17,1766,1777,1761,1771
1998-02-18,1771,1779.5,1767.5,1778.75
1998-02-19,1779,1781.5,1768.25,1774.25
1998-02-20,1773.75,1781.5,1768.25,1781
1998-02-23,1780.75,1789.25,1777.25,1784.75
1998-02-24,1785,1785.25,1773.75,1777.25
1998-02-25,1776.75,1793,1776.25,1789
1998-02-26,1789,1796,1785.5,1795.5
1998-02-27,1794,1798.5,1789.5,1794
1998-03-02,1792.75,1800.5,1790,1793.5
1998-03-03,1793,1800,1788.25,1799
1998-03-04,1798.75,1799,1787,1791.5
1998-03-05,1789.25,1789.5,1775.5,1782.25
1998-03-06,1782,1801.5,1778,1800.75
1998-03-09,1797.5,1805,1794.5,1797.5
1998-03-10,1797.5,1810.75,1796.75,1808.5
1998-03-11,1808.5,1814.5,1807.75,1812
1998-03-12,1812,1817,1807,1816
1998-03-13,1815.75,1823.5,1810.5,1813
1998-03-16,1812.75,1824.5,1808.75,1823.5
1998-03-17,1823,1826,1817.75,1826
1998-03-18,1825.75,1829.75,1821,1829.5
1998-03-19,1829,1833.75,1827.5,1833.5
1998-03-20,1835.5,1845.5,1832.25,1843
1998-03-23,1842.25,1845.25,1835.75,1840
1998-03-24,1840.25,1851,1839.25,1848.75
1998-03-25,1848.75,1857,1834.25,1845.5
1998-03-26,1845.5,1849.75,1838.75,1842.5
1998-03-27,1842.5,1851.25,1830.5,1839.25
1998-03-30,1838,1842.75,1832,1837.5
1998-03-31,1837.25,1854,1836,1842.25
1998-04-01,1841.5,1853,1836,1850
1998-04-02,1850.75,1864.5,1847.75,1862.75
1998-04-03,1862.75,1869.25,1859.75,1866.5
1998-04-06,1866.25,1874.25,1858.5,1858.75
1998-04-07,1859,1862.75,1842.25,1850.75
1998-04-08,1850.25,1855.25,1836.75,1843.5
1998-04-09,1844.25,1853,1843.25,1851.25
1998-04-13,1850.75,1856,1839.25,1849
1998-04-14,1849,1857.75,1848,1856.75
1998-04-15,1855.5,1860.5,1851.25,1860
1998-04-16,1860,1860.75,1843.5,1847.25
1998-04-17,1848.25,1863.25,1837.5,1862.25
1998-04-20,1862.25,1864.5,1856.75,1860.75
1998-04-21,1860.75,1869.25,1857.5,1867.25
1998-04-22,1866.75,1871.75,1865,1868.25
1998-04-23,1867.75,1868,1855.25,1858.25
1998-04-24,1857.25,1862.25,1840.75,1844.5
1998-04-27,1843.75,1845.5,1813.25,1825.25
1998-04-28,1825.25,1834.75,1818.75,1822.75
1998-04-29,1823,1835.75,1820.5,1828.5
1998-04-30,1828.5,1855.75,1826.25,1851
1998-05-01,1851,1862,1849.5,1861.25
1998-05-04,1861.25,1868.75,1857.75,1859.75
1998-05-05,1859.5,1860,1846.5,1851.75
1998-05-06,1851.75,1856.25,1838,1838.5
1998-05-07,1830.5,1842.75,1829,1830
1998-05-08,1830.5,1848.5,1827.75,1847.25
1998-05-11,1847.25,1856.5,1839,1844
1998-05-12,1843.25,1854.75,1838.25,1853.75
1998-05-13,1853.75,1859.75,1850.25,1855.75
1998-05-14,1855.75,1861,1847.75,1851.25
1998-05-15,1851.25,1855.25,1841.75,1844.25
1998-05-18,1842.25,1849,1832.25,1840
1998-05-19,1841.25,1850.5,1839.25,1847.25
1998-05-20,1846.5,1856.5,1842.25,1855.75
1998-05-21,1856.75,1860.5,1846.25,1850
1998-05-22,1849.75,1853,1842.5,1845.75
1998-05-26,1844.25,1852.5,1823.75,1825.75
1998-05-27,1826.75,1830.25,1806.75,1828.25
1998-05-28,1829,1835,1822.75,1832.5
1998-05-29,1832.75,1839.5,1822.5,1822.5
1998-06-01,1821.75,1833.25,1816.25,1827
1998-06-02,1827,1834.25,1822.75,1827.5
1998-06-03,1827.25,1832,1809.75,1810
1998-06-04,1809.75,1830.75,1809,1829.5
1998-06-05,1829.25,1849.75,1826.25,1849.25
1998-06-08,1849,1854.25,1846.25,1848.75
1998-06-09,1848.5,1853.75,1844.5,1851.25
1998-06-10,1851.25,1859.5,1841.25,1844.75
1998-06-11,1845,1847.75,1821.75,1823.75
1998-06-12,1824.75,1833.75,1812.75,1832.25
1998-06-15,1833.25,1835.25,1805.25,1805.5
1998-06-16,1805.25,1820.75,1803,1819.75
1998-06-17,1819.5,1847,1818.75,1842.25
1998-06-18,1842.25,1847.25,1836.25,1838.25
1998-06-19,1838.5,1844.25,1828,1832.5
