time,open,high,low,close
1999-06-30,5643.5,5698.5,5618.5,5675.5
1999-07-01,5676,5707,5645,5697.5
1999-07-06,5733.5,5760,5726.5,5746
1999-07-07,5715,5717.5,5691,5702
1999-07-08,5718,5755,5700.5,5738
1999-07-09,5745,5755.5,5734,5748
1999-07-12,5773,5787,5739,5772
1999-07-13,5744,5749,5722.5,5732
1999-07-14,5747.5,5776.5,5732,5774
1999-07-15,5784,5803.5,5778.5,5798
1999-07-16,5798,5839,5796.5,5834
1999-07-19,5825.5,5839,5792,5799.5
1999-07-20,5752,5756,5708.5,5719.5
1999-07-21,5706.5,5737.5,5692,5703
1999-07-22,5666,5674.5,5649,5662
1999-07-23,5675,5683,5633.5,5653
1999-07-26,5631,5652,5615.5,5618
1999-07-27,5626,5678.5,5624,5675.5
1999-07-28,5669.5,5703,5642,5684.5
1999-07-29,5676,5679,5619,5634.5
1999-07-30,5654,5677,5632,5644
1999-08-02,5616.5,5675,5610.5,5660.5
1999-08-03,5632,5652.5,5574,5611.5
1999-08-04,5612,5623.5,5583,5597
1999-08-05,5557,5591.5,5514.5,5576
1999-08-06,5601,5623.5,5565,5574.5
1999-08-09,5586,5594,5556,5577
1999-08-10,5492,5517,5482,5509
1999-08-11,5547,5580,5534.5,5576.5
1999-08-12,5598.5,5622.5,5584,5588
1999-08-13,5567.5,5652.5,5564,5647.5
1999-08-16,5668,5698,5657,5663
1999-08-17,5680,5709,5639,5684.5
1999-08-18,5700,5713.5,5670,5673.5
1999-08-19,5672,5676.5,5628,5652
1999-08-20,5645.5,5663.5,5632.5,5658
1999-08-23,5687,5722,5685.5,5713
1999-08-24,5738,5794.5,5729.5,5755
1999-08-25,5765,5826.5,5756.5,5820.5
1999-08-26,5820,5827.5,5775,5778
1999-08-27,5775,5799,5749.5,5755
1999-08-30,5755,5771,5713,5724
1999-08-31,5729,5759,5682.5,5745.5
1999-09-01,5745,5782,5739,5764.5
1999-09-02,5763.5,5766.5,5712,5751.5
1999-09-03,5753.5,5863,5746,5863
1999-09-07,5881,5881,5847,5852.5
1999-09-08,5850,5858.5,5806,5819
1999-09-09,5815,5857,5804,5856
1999-09-10,5855,5914,5852,5887
1999-09-13,5890,5900,5837.5,5845.5
1999-09-14,5849,5881,5829.5,5865
1999-09-15,5864,5899.5,5811,5814
1999-09-16,5813,5833,5762.5,5814
1999-09-17,5817,5894,5812.5,5888.5
1999-09-20,5905,5908,5871,5890
1999-09-21,5898,5898,5823,5830
1999-09-22,5830,5868.5,5803,5858
1999-09-23,5857,5887,5735.5,5754
1999-09-24,5753,5759.5,5695,5746
1999-09-27,5747,5806.5,5747,5771.5
1999-09-28,5771,5790,5706,5783
1999-09-29,5784,5796.5,5735,5737
1999-09-30,5737,5782.5,5725,5759.5
1999-10-01,5756.5,5760,5699.5,5751.5
1999-10-04,5751.5,5819.5,5744.5,5818.5
1999-10-05,5816,5855.5,5778,5828
1999-10-06,5824.5,5879,5821,5875.5
1999-10-07,5875.5,5919,5853,5872
1999-10-08,5870,5900,5825,5898
1999-10-11,5898,5931.5,5888,5928
1999-10-12,5929,5937,5865.5,5876
1999-10-13,5852,5874.5,5785.5,5794
1999-10-14,5806,5828,5765,5812
1999-10-15,5815,5818.5,5725,5736
1999-10-18,5726.5,5757,5638.5,5701
1999-10-19,5700.5,5744,5679.5,5705
1999-10-20,5716,5812,5716,5792.5
1999-10-21,5790.5,5834,5733,5833
1999-10-22,5831,5867,5813,5816.5
1999-10-25,5817.5,5848,5790,5821
1999-10-26,5819.5,5865,5796,5796
1999-10-27,5795,5809,5758,5798
1999-10-28,5798,5884.5,5777,5882
1999-10-29,5880,5992,5871,5975.5
1999-11-01,5970,6002.5,5953,5959
1999-11-02,5953,6004.5,5946.5,5963
1999-11-03,5961,6025.5,5960,6015
1999-11-04,6013.5,6052,6012,6043
1999-11-05,6043,6104,6030,6104
1999-11-08,6070.5,6130,6060.5,6128
1999-11-09,6125,6167.5,6073,6105
1999-11-10,6106,6159,6090,6138.5
1999-11-11,6130.5,6189,6130.5,6186.5
1999-11-12,6184,6230,6122,6225
1999-11-15,6228.5,6238,6203.5,6218.5
1999-11-16,6212,6304,6209,6296
1999-11-17,6240,6305,6240,6251
1999-11-18,6249.5,6341,6243.5,6338
1999-11-19,6335,6369,6312.5,6363.5
1999-11-22,6372,6389.5,6339,6385.5
1999-11-23,6386,6398,6302.5,6333
1999-11-24,6331,6443,6310,6439
1999-11-26,6439.5,6485,6432.5,6441
1999-11-29,6444,6462.5,6387,6388
1999-11-30,6391,6399,6288,6292
1999-12-01,6291,6350,6281.5,6333.5
1999-12-02,6335.5,6435,6330.5,6431
1999-12-03,6430,6538.5,6414,6494
1999-12-06,6494.5,6549,6477,6523
1999-12-07,6520,6547,6480.5,6529.5
1999-12-08,6525,6548,6480,6485.5
1999-12-09,6482,6543.5,6425,6489
1999-12-10,6480,6540,6451,6527
1999-12-13,6533,6597,6496,6567
1999-12-14,6561.5,6600.5,6487,6501
1999-12-15,6502.5,6563.5,6445.5,6557
1999-12-16,6558.5,6659.5,6552.5,6658.5
1999-12-17,6659.5,6735,6655.5,6690
1999-12-20,6715.5,6715.5,6715.5,6715.5
1999-12-21,6715.5,6874,6708,6868.5
1999-12-22,6870.5,6902.5,6826,6895
1999-12-23,6890,6958.5,6876,6912.5
1999-12-27,6912,6955,6842.5,6917.5
1999-12-28,6911.5,6950.5,6872.5,6898.5
1999-12-29,6898,7024.5,6888,7021
1999-12-30,7021,7081,6996.5,7011.5
1999-12-31,7005,7048.5,6999,7030.5
