time,open,high,low,close
2016-09-27,1240.63,1251.28,1236.43,1245.07
2016-09-28,1244.62,1257.51,1238.42,1256.17
2016-09-29,1257.47,1259.12,1235.8,1237.87
2016-09-30,1237.72,1256.3,1230.72,1247.25
2016-10-02,1248.9,1250.55,1248.4,1250.45
2016-10-03,1250.4,1252.55,1239.6,1247.2
2016-10-04,1246.9,1251.25,1234.3,1239.96
2016-10-05,1238.91,1254.8,1237.81,1246.34
2016-10-06,1246.44,1248.34,1235.29,1246.03
2016-10-07,1245.83,1250.58,1229.28,1233.18
2016-10-09,1237.48,1238.28,1236.73,1237.73
2016-10-10,1237.63,1255.28,1235.03,1252
2016-10-11,1252.25,1252.65,1222.55,1229.64
2016-10-12,1229.69,1235.04,1222.53,1222.73
2016-10-13,1222.83,1224.83,1208.33,1215.49
2016-10-14,1214.64,1224.49,1208.87,1211.32
2016-10-16,1211.37,1212.67,1205.92,1207.12
2016-10-17,1207.07,1215.4,1204.97,1211.6
2016-10-18,1211.4,1223.07,1211.4,1215.58
2016-10-19,1215.68,1227.13,1212.08,1221.1
2016-10-20,1222,1225.95,1211.25,1221.23
2016-10-21,1221.48,1222.08,1209.08,1220.1
2016-10-23,1220.85,1222.75,1219.8,1222.4
2016-10-24,1222.35,1234.3,1219.25,1225.93
2016-10-25,1225.83,1228.98,1213.29,1215.56
2016-10-26,1215.51,1217.26,1201.4,1204.07
2016-10-27,1204.12,1210.27,1185.69,1188.04
2016-10-28,1188.99,1196.7,1180.44,1187.89
2016-10-30,1184.44,1186.99,1182.74,1185.94
2016-10-31,1185.79,1193.71,1184.29,1193.21
2016-11-01,1193.06,1197.26,1168.76,1173.8
2016-11-02,1174,1176.2,1157.94,1158.09
2016-11-03,1158.29,1168.84,1155.48,1157.43
2016-11-04,1157.23,1175.2,1154.63,1164.35
2016-11-06,1181.55,1186.6,1180.75,1183.4
2016-11-07,1183.35,1194.9,1180.8,1192.94
2016-11-08,1192.64,1200.6,1183.34,1195.86
2016-11-09,1195.96,1234.71,1125.21,1230.3
2016-11-10,1230.5,1260.35,1228.5,1255.35
2016-11-11,1253.45,1284.8,1251.95,1281.6
2016-11-13,1284.7,1286.05,1282.65,1285.5
2016-11-14,1285.4,1309,1282.4,1299
2016-11-15,1298.9,1305.4,1289.3,1300.84
2016-11-16,1300.99,1305.9,1294.44,1302.73
2016-11-17,1302.58,1313.93,1302.33,1309.42
2016-11-18,1308.32,1316.9,1305.47,1314.96
2016-11-20,1314.91,1316.06,1314.86,1315.31
2016-11-21,1315.21,1326.11,1312.01,1323.5
2016-11-22,1323.45,1336.35,1323.15,1336.1
2016-11-23,1336.55,1342.87,1327.25,1342.47
2016-11-24,1342.62,1348.07,1339.32,1346.07
2016-11-25,1345.97,1347.88,1341.37,1347.63
2016-11-27,1345.73,1345.83,1343.93,1344.28
2016-11-28,1344.13,1345.63,1327.1,1329.49
2016-11-29,1328.99,1336.35,1326.29,1328.08
2016-11-30,1327.53,1336.03,1319.83,1324.05
2016-12-01,1323.8,1330.15,1307.95,1314.52
2016-12-02,1314.67,1319.7,1309.92,1314.86
2016-12-04,1307.31,1312.76,1307.06,1311.41
2016-12-05,1311.46,1339.83,1309.86,1338.98
2016-12-06,1339.28,1354.9,1331.78,1349.85
2016-12-07,1349.7,1366.5,1347.35,1364.04
2016-12-08,1364.44,1389.42,1360.34,1388.02
2016-12-09,1388.12,1393.12,1382.32,1386.91
2016-12-11,1387.21,1394.56,1386.81,1390.21
2016-12-12,1390.26,1391.16,1370.1,1373.29
2016-12-13,1373.79,1385.69,1367.54,1374.25
2016-12-14,1374.2,1378.6,1352.25,1359.48
2016-12-15,1359.38,1376.23,1353.73,1370.2
2016-12-16,1369,1379.9,1360.4,1363.95
2016-12-18,1364.6,1367.75,1364.45,1367.05
2016-12-19,1367,1376.25,1363.2,1373.3
2016-12-20,1374.55,1386.4,1371.95,1382.16
2016-12-21,1382.71,1385.76,1371.52,1372.67
2016-12-22,1372.87,1376.47,1357.4,1363.08
2016-12-23,1363.18,1369.98,1360.88,1367.38
2016-12-27,1366.88,1381.23,1365.78,1371.35
2016-12-28,1371.45,1376.95,1354.9,1359.13
2016-12-29,1358.53,1369.38,1354.35,1361.19
2016-12-30,1361.24,1367.14,1351.49,1354.73
2017-01-03,1355.13,1376.18,1352.1,1364.53
2017-01-04,1364.48,1388.84,1364.48,1386.24
2017-01-05,1385.34,1386.79,1363.65,1369.86
2017-01-06,1369.91,1375.96,1364.7,1364.7
2017-01-08,1364.75,1366.15,1364.3,1365.85
2017-01-09,1365.75,1368,1354.1,1355.4
2017-01-10,1355.45,1373.15,1351.75,1369.9
2017-01-11,1369.95,1377.15,1363.4,1375.11
2017-01-12,1374.96,1374.96,1344.92,1360.02
2017-01-13,1360.57,1379.72,1359.82,1374.14
2017-01-15,1373.69,1373.69,1371.94,1372.54
2017-01-16,1372.49,1374.19,1369.34,1371.69
2017-01-17,1371.34,1373.14,1350.3,1353.86
2017-01-18,1353.91,1359.41,1348.56,1357.4
2017-01-19,1357.35,1363.5,1340.1,1345.75
2017-01-20,1345.85,1357.6,1345.85,1353.14
2017-01-22,1352.49,1352.94,1346.04,1346.54
2017-01-23,1346.49,1355.49,1339.7,1347.3
2017-01-24,1347.75,1371.9,1346.2,1368.13
2017-01-25,1368.33,1384.33,1367.58,1383.07
2017-01-26,1382.57,1387.47,1372.65,1375.54
2017-01-27,1375.49,1378.89,1364.95,1368.97
2017-01-29,1362.42,1364.22,1361.17,1361.17
2017-01-30,1361.07,1364.37,1340.2,1349.93
2017-01-31,1350.38,1364.2,1343,1362.3
2017-02-01,1362,1377.45,1355.1,1359.29
2017-02-02,1355.64,1364.89,1351.49,1354.36
2017-02-03,1354.76,1378.32,1350.36,1377.82
2017-02-05,1378.87,1379.52,1375.92,1376.57
2017-02-06,1376.47,1379.82,1362.4,1364.45
2017-02-07,1363.5,1372.85,1355.65,1358.64
2017-02-08,1358.89,1363.04,1346.74,1358.17
2017-02-09,1357.32,1380.75,1355.67,1377.35
2017-02-10,1376.7,1391.9,1376.25,1388.4
2017-02-12,1389.15,1391.7,1389.15,1391.3
2017-02-13,1391.35,1400.2,1389.1,1391.09
2017-02-14,1390.84,1399.61,1384.34,1398.31
2017-02-15,1398.21,1407.38,1387.41,1406.03
2017-02-16,1405.88,1406.68,1390.48,1398.51
2017-02-17,1398.41,1400.8,1386.31,1399.35
2017-02-19,1397.75,1398.35,1397.2,1397.65
2017-02-20,1397.55,1406,1396.95,1401.7
