time,open,high,low,close
2006-12-08,9880,9880,9807.400000000001,9807.400000000001
2006-12-11,9930,9930,9930,9930
2006-12-12,10028.8,10028.8,10028.8,10028.8
2006-12-13,10050,10085.3,10050,10085.3
2006-12-14,10170,10220.599999999999,10170,10220.599999999999
2006-12-15,10370,10370,10290,10290
2006-12-18,10350,10380,10350,10380
2006-12-19,10310,10320,10220,10220
2006-12-20,10400,10420,10400,10420
2006-12-21,10430,10470,10430,10438.8
2006-12-22,10490,10495.400000000001,10490,10495.400000000001
2006-12-25,10482.400000000001,10482.400000000001,10482.400000000001,10482.400000000001
2006-12-26,10510,10580,10510,10558
2006-12-27,10620.400000000001,10620.400000000001,10620.400000000001,10620.400000000001
2006-12-28,10630,10630,10610,10622
2006-12-29,10650,10650,10623.7,10623.7
2007-01-04,10740,10740,10740,10740
2007-01-05,10730,10730,10460,10489.099999999999
2007-01-09,10420,10631.8,10420,10631.8
2007-01-10,10370,10400,10320,10338.900000000001
2007-01-11,10420,10420,10232,10232
2007-01-12,10410,10449.2,10380,10449.2
2007-01-15,10603.2,10603.2,10603.2,10603.2
2007-01-16,10690,10690,10597.599999999999,10597.599999999999
2007-01-17,10530,10750,10530,10657.099999999999
2007-01-18,10630,10770,10630,10765.900000000001
2007-01-19,10730,10770,10705.599999999999,10705.599999999999
2007-01-22,10850,10860,10810,10816.099999999999
2007-01-23,10740,10800.599999999999,10740,10800.599999999999
2007-01-24,10910,10980,10890,10897.7
2007-01-25,11000,11020,10840,10848.599999999999
2007-01-26,10770,10811.400000000001,10770,10811.400000000001
2007-01-29,10760,10858.599999999999,10760,10858.599999999999
2007-01-30,10878.5,10878.5,10878.5,10878.5
2007-01-31,10840,10840,10680,10750
2007-02-01,10810,10905.900000000001,10810,10905.900000000001
2007-02-02,10970,11000,10930,10934.5
2007-02-05,10750,10750,10690,10731.3
2007-02-06,10780,10790.5,10760,10790.5
2007-02-07,10750,10750,10600,10676.3
2007-02-08,10740,10740,10674.8,10674.8
2007-02-09,10750,10880,10740,10880
2007-02-13,10840,11010,10840,10960
2007-02-14,11090,11134.400000000001,11090,11134.400000000001
2007-02-15,11200,11279.599999999999,11200,11279.599999999999
2007-02-16,11220,11260.2,11220,11260.2
2007-02-19,11290,11323.400000000001,11290,11323.400000000001
2007-02-20,11270,11323.2,11230,11323.2
2007-02-21,11320,11320,11297.3,11297.3
2007-02-22,11410,11510,11410,11492.099999999999
2007-02-23,11490,11610,11440,11581.900000000001
2007-02-26,11630,11680,11590,11612.7
2007-02-27,11530,11530,11517.2,11517.2
2007-02-28,10890,10980,10880,10920
2007-03-01,10890,10890,10700,10845
2007-03-02,10770,10770,10608.599999999999,10608.599999999999
2007-03-05,10250,10250,9920,10040
2007-03-06,10020,10230,10020,10226.8
2007-03-07,10360,10360,10130,10148.900000000001
2007-03-08,10440,10440,10440,10440
2007-03-09,10570,10610,10490,10548.7
2007-03-12,10710,10710,10676,10676
2007-03-13,10680,10680,10570,10570
2007-03-14,10130,10130,10020,10060.400000000001
2007-03-15,10160,10238.2,10160,10238.2
2007-03-16,10080,10290,10080,10140
2007-03-19,10320,10410,10320,10410
2007-03-20,10580,10590,10541.5,10541.5
2007-03-22,10820,10840,10797.599999999999,10797.599999999999
2007-03-23,10820,10861.3,10820,10861.3
2007-03-26,10890,10890,10890,10890
2007-03-27,10970,10970,10745.099999999999,10745.099999999999
2007-03-28,10820,10820,10600,10719.3
2007-03-29,10600,10710,10520,10710
2007-03-30,10830,10830,10750.7,10750.7
2007-04-02,10860,10870,10490,10490
2007-04-03,10680,10680,10680,10680
2007-04-04,10920,11002.5,10920,11002.5
2007-04-05,10951,10951,10951,10951
2007-04-06,10940,10943.5,10940,10943.5
2007-04-09,11070,11202,11070,11202
