time,open,high,low,close
1998-07-15,751,751,740,748.5
1998-07-16,745.5,758,743,753.5
1998-07-17,754.5,755.5,747,752.5
1998-07-21,752.5,759,736.5,744.5
1998-07-22,739.5,742.5,724.5,724.5
1998-07-23,723.5,729.5,716.5,717
1998-07-24,711,733.5,710,730
1998-07-27,722.5,725.5,699.5,700
1998-07-28,706,719,701.5,714
1998-07-29,711,722,707.5,715.5
1998-07-30,720.5,728,717.5,719.5
1998-07-31,729.5,737.5,728.5,734.5
1998-08-03,732,733.5,711,712
1998-08-04,706,716.5,703.5,704.5
1998-08-05,710.5,710.5,694,707.5
1998-08-06,713.5,713.5,694.5,695.5
1998-08-07,695.5,705.5,692.5,695
1998-08-10,689.5,692.5,672.5,673
1998-08-11,668.5,673.5,650.5,653.5
1998-08-12,647.5,660.5,644.5,655
1998-08-13,659.5,661,647.5,654
1998-08-14,648,653.5,632,636.5
1998-08-17,639.5,640,611.5,618.5
1998-08-18,631.5,643.5,626,641.5
1998-08-19,645,661,644.5,656.5
1998-08-20,658.5,660.5,643,657.5
1998-08-21,648,656,645,649
1998-08-24,633.5,635.5,622.5,631.5
1998-08-26,632.5,634.5,615,617
1998-08-27,599,602.5,584.5,595
1998-08-28,557.5,578.5,548.5,549
1998-08-31,562.5,587.5,559,576.5
1998-09-01,540.5,591.5,540.5,591.5
1998-09-02,586.5,606.5,583,592
1998-09-03,589.5,594.5,584,585
1998-09-04,579,580.5,565.5,569.5
1998-09-07,568.5,619.5,559.5,619.5
1998-09-08,613,626.5,599,604.5
1998-09-09,610.5,615,585,591.5
1998-09-10,597.5,604.5,577.5,577.5
1998-09-11,565.5,568.5,532.5,538.5
1998-09-18,541.5,555.5,534.5,547.5
1998-09-21,529.5,538.5,521.5,523.5
1998-09-24,550.5,564.5,543.5,564.5
1998-09-25,546.5,546.5,525,530.5
1998-09-28,532,557,527,547
1998-09-29,545,547.5,527.5,542.5
1998-09-30,560.5,560.5,524,524
1998-10-01,521.5,529.5,490.5,500.5
1998-10-02,484.5,502.5,482.5,502.5
1998-10-05,490.5,492.5,472.5,474
1998-10-06,472.5,490.5,471.5,472
1998-10-07,499,535.5,491,535.5
1998-10-08,518.5,518.5,474.5,477
1998-10-09,462.5,488,455,465
1998-10-12,493.5,510,491,502
1998-10-13,498.5,504.5,477.5,483
1998-10-14,477.5,490.5,464,472
1998-10-15,474.5,474.5,454.5,460.5
1998-10-16,481.5,490.5,473.5,484.5
1998-10-19,489.5,518.5,486.5,501
1998-10-20,501,531.5,500.5,530.5
1998-10-21,551.5,566.5,551.5,556.5
1998-10-22,582.5,594.5,553.5,556
1998-10-23,560.5,572.5,543.5,546
1998-10-26,531,535.5,522.5,530
1998-10-27,524,539,519,524.5
1998-10-28,523,528.5,507,511
1998-10-29,508,518.5,503.5,515.5
1998-10-30,527.5,530,511,516.5
1998-11-04,583.5,585.5,575.5,585
1998-11-05,597,597,574,579.5
1998-11-06,584.5,585.5,566,568
1998-11-09,566.5,573.5,560,562.5
1998-11-10,556.5,569.5,556,559
1998-11-11,563.5,583,558.5,583
1998-11-12,580,580.5,559.5,563
1998-11-13,563.5,580.5,556.5,574
1998-11-16,586,587.5,575,586.5
1998-11-17,588.5,590.5,580,585.5
1998-11-18,586,600.5,585,585
1998-11-20,592,613.5,592,613.5
1998-11-24,630.5,639.5,630.5,639
1998-11-25,634.5,636.5,626.5,635
1998-11-26,634.5,641.5,629.5,640
1998-11-27,640,648.5,634.5,639.5
1998-11-30,636.5,640.5,620.5,620.5
1998-12-01,609.5,625.5,609.5,623
1998-12-02,620.5,628.5,614.5,626.5
1998-12-03,614.5,617,601.5,609.5
1998-12-04,603.5,606.5,595.5,597.5
1998-12-07,609.5,611.5,602,611.5
1998-12-08,608,617.5,604.5,606.5
1998-12-09,603.5,627,603.5,627
1998-12-10,615,628,611,614.5
1998-12-11,619,619,592,593
1998-12-14,584.5,588,573,577
1998-12-15,571,576,562.5,566.5
1998-12-16,570,574.5,567,574.5
1998-12-17,571.5,572.5,561.5,570
1998-12-18,572,585.5,570,581
1998-12-21,572.5,575.5,567.5,568
1998-12-24,548,552,544.5,547.5
1998-12-25,553.5,567,553.5,567
1998-12-29,560,567,552,565.5
1999-01-04,552.5,552.5,531.5,537
1999-01-05,532.5,537,512,515.5
1999-01-06,523.5,544,516,543
1999-01-07,555,562.5,541,542
1999-01-08,536,537.5,526,531
1999-01-11,529,535,522,535
1999-01-12,523,542.5,520,533
1999-01-13,527,534.5,524,532
1999-01-18,555,561,549,552
1999-01-19,555.5,558,549,553.5
1999-01-20,550,566,547,566
1999-01-21,572,590,566,590
1999-01-22,588,593,572.5,572.5
1999-01-25,578,579.5,567,573
1999-01-26,585,596,583,588
1999-01-27,590,599,589.5,594
1999-01-28,600,602,579.5,584
1999-01-29,605,611,597,611
1999-02-01,611,613,592,596
1999-02-02,602,602,585.5,585.5
1999-02-03,580,581.5,572,579
1999-02-04,576,580.5,561,571.5
1999-02-05,561,564,552,552
1999-02-08,564,570.5,554,566
1999-02-09,571,571,555,555
1999-02-12,559,570,558,561.5
1999-02-15,569,574.5,568,570
1999-02-16,581.5,589,578.5,582.5
1999-02-17,591,592,571.5,572.5
1999-02-18,573,573,567,571
1999-02-19,573,577,566,573
1999-02-22,580.5,589.5,573,586
1999-02-23,586,599,586,596
1999-02-24,598.5,604,590,590
1999-02-25,596,603,595,603
1999-02-26,602,604.5,594.5,596.5
1999-03-01,596.5,600,587,587
1999-03-02,587,588,560.5,561.5
1999-03-03,567,578,563,578
1999-03-04,584,586.5,576,582.5
1999-03-05,588.5,632,588,632
1999-03-08,633.5,644,622.5,624.5
1999-03-09,636,646,629.5,646
1999-03-10,650,668,648.5,664
1999-03-11,676,690,668.5,675
1999-03-12,692,693,669.5,679.5
1999-03-15,679.5,696.5,669,696.5
1999-03-16,695,715,684,713
1999-03-17,723,738.5,714.5,733.5
1999-03-18,733.5,747.5,703,705.5
1999-03-19,735.5,752.5,724,749
1999-03-23,749,761,730.5,730.5
1999-03-24,730,730.5,706,706
1999-03-25,727.5,741,720.5,738
1999-03-26,739,756.5,734,747
1999-03-29,750,761,747,747
1999-03-30,757.5,765.5,744,744
1999-03-31,750,757,732.5,740
1999-04-01,750,793,749,776.5
1999-04-02,779.5,792,779,783
1999-04-05,785,803,780,788.5
1999-04-06,789,797,764.5,797
1999-04-07,803,803,790.5,798.5
1999-04-08,807,825.5,803,818
1999-04-09,833.5,838,817.5,817.5
1999-04-12,811.5,814.5,795,798
1999-04-13,808.5,821.5,803,811.5
1999-04-14,808.5,819,795.5,816.5
1999-04-15,818.5,827,810,816
1999-04-16,819,838,819,821.5
1999-04-19,823,826,803,803
1999-04-20,800.5,811.5,796.5,811.5
1999-04-21,808,810,785,786.5
1999-04-22,804.5,804.5,788.5,800
1999-04-23,806,818,805,818
1999-04-26,818.5,835,817,828.5
1999-04-27,833,836.5,826.5,830.5
1999-04-30,831,833,811.5,811.5
1999-05-06,835.5,864,833,862
1999-05-07,861,863,841,845
1999-05-11,851.5,851.5,826.5,826.5
1999-05-12,838.5,848,836.5,840.5
1999-05-13,836.5,837.5,824.5,829
1999-05-14,830,834.5,823,823.5
1999-05-17,808,813,796,797.5
1999-05-18,798,811,793,806.5
1999-05-19,794.5,798,773,775.5
1999-05-20,780.5,788,766,779.5
1999-05-21,790,792,781.5,790.5
1999-05-24,786.5,800,783,799
1999-05-25,785.5,791,781.5,790
1999-05-26,780,795,778,783
